source_path,curated_path,status,priority,chapter,bibtex_key,notes
"Diplomová práca/sources_old/High_priority","",supporting,medium,audit,,"Old BibTeX scratchpad, not a PDF source. Reviewed on 2026-05-06; useful for recovering missing citation keys and checking older bibliography decisions."
"Diplomová práca/sources_old/High priority/2008.07971v2.pdf","Diplomová práca/Sources/ai_games_racing/Fuchs_2021_Super_Human_Performance_GT_Sport_DRL.pdf",core,high,suvisiace_prace,gt_sport_drl_fuchs2021,"Gran Turismo Sport DRL; useful racing RL comparison, DOI 10.1109/LRA.2021.3064284."
"Diplomová práca/sources_old/High priority/A Benchmark Environment for Offline Reinforcement Learning in Racing Games.pdf","Diplomová práca/Sources/ai_games_racing/Macaluso_2024_OfflineMania_Racing_Games.pdf",supporting,high,suvisiace_prace,offline_mania2024,"OfflineMania racing game benchmark; relevant to racing-game RL context."
"Diplomová práca/sources_old/High priority/A comparison of Different Machine Learning Techniques to Develop the AI of a Virtual Racing Game.pdf","Diplomová práca/Sources/ai_games_racing/Comparison_ML_Techniques_Virtual_Racing_Game.pdf",supporting,medium,suvisiace_prace,,Virtual racing game AI comparison; inspect before citing."
"Diplomová práca/sources_old/High priority/A Driving Model in the Realistic 3D Game Trackmania Using Deep Reinforcement Learning.pdf","Diplomová práca/Sources/trackmania_related/Authier_Carcelen_2024_Trackmania_DRL_Preprint.pdf",context_only,medium,suvisiace_prace,trackmania_drl_preprint2024,"Preprints.org, not peer reviewed; use cautiously as Trackmania context only."
"Diplomová práca/sources_old/High priority/Beyond Traditional Simulators - Adopting Videogames.pdf","Diplomová práca/Sources/ai_games_racing/Beyond_Traditional_Simulators_Adopting_Videogames.pdf",supporting,medium,suvisiace_prace,,Useful argument for videogames as simulation environments; verify publication details."
"Diplomová práca/sources_old/High priority/Deep_Reinforcement_Learning_in.pdf","Diplomová práca/Sources/ai_games_racing/Deep_Reinforcement_Learning_in_Racing_Context.pdf",supporting,medium,suvisiace_prace,,Title truncated in old source; inspect before final citation."
"Diplomová práca/sources_old/High priority/End-to-end Autonomous Driving - Challenges and Frontiers.pdf","Diplomová práca/Sources/ai_games_racing/Chen_2023_End_to_end_Autonomous_Driving_Challenges_Frontiers.pdf",supporting,medium,suvisiace_prace,end_to_end_ad_survey2023,"Use selectively for end-to-end driving limitations, not as core racing AI source."
"Diplomová práca/sources_old/High priority/End-to-End Driving in a Realistic Racing Game with Deep Reinforcement Learning.pdf","Diplomová práca/Sources/ai_games_racing/End_to_End_Driving_Realistic_Racing_Game_DRL.pdf",core,high,suvisiace_prace,end_to_end_racing_game_drl2017,"Relevant racing-game DRL source; verify exact venue before citing."
"Diplomová práca/sources_old/High priority/End-to-End Race Driving with Deep Reinforcement Learning.pdf","Diplomová práca/Sources/ai_games_racing/End_to_End_Race_Driving_DRL.pdf",core,high,suvisiace_prace,end_to_end_race_driving2018,"Racing DRL; useful contrast to non-image geometric observation."
"Diplomová práca/sources_old/High priority/EvolutionaryAlgorithmsforMulti-CriterionOptimizationASurvey.pdf","Diplomová práca/Sources/theory_ml_rl_ga/EvolutionaryAlgorithmsforMulti-CriterionOptimizationASurvey.pdf",core,high,teoria,coello1999survey,"Core source for evolutionary multi-objective optimization survey."
"Diplomová práca/sources_old/High priority/Game AI Pro Chapter 39 Representing and Driving a Race Track for AI Controlled Vehicles.pdf","Diplomová práca/Sources/ai_games_racing/Game_AI_Pro_Chapter39_Race_Track_AI_Controlled_Vehicles.pdf",core,high,suvisiace_prace,game_ai_pro_racetrack2013,"Very relevant for representing and driving a racing track with AI vehicles."
