action,status,experiment_id,source,destination,reason,files_copied,files_skipped,mb_copied
package,single_seed_strong_signal,lex_reward_aabb_lidar_fixed100_20260503,Experiments/analysis/lex_sweep_aabb_lidar_fixed100_20260503;Experiments/runs_ga/lex_sweep_aabb_lidar_fixed100_seed_2026050306;Experiments/run_lexicographic_sweep_aabb_lidar_fixed100.ps1;Experiments/run_lexicographic_sweep_aabb_lidar_fixed100_2.ps1;Experiments/analyze_lexicographic_sweep.py,Diplomová práca/Experiments/lex_reward_aabb_lidar_fixed100_20260503,"Main reward-function comparison after switching to AABB-clearance lidar, fixed FPS 100, binary gas/brake, no elite cache.",28,0,15.308
package,screening_single_seed_complete,ga_hyperparam_refinement_20260504,Experiments/analysis/ga_hyperparam_refinement_20260504;Experiments/runs_ga_hyperparam/pc1_selection_refinement_seed_2026050401;Experiments/runs_ga_hyperparam/pc2_mutation_refinement_seed_2026050401;Experiments/run_ga_hyperparam_selection_refinement_pc1.ps1;Experiments/run_ga_hyperparam_mutation_refinement_pc2.ps1;Experiments/analyze_ga_hyperparam_sweep.py,Diplomová práca/Experiments/ga_hyperparam_refinement_20260504,"Refined parent/elite and mutation probability/sigma screening for the selected reward tuple, using direct parent_count x elite_count heatmaps.",3,3,0.028
package,screening_single_seed,ga_mutation_grid_20260504,Experiments/analysis/ga_hyperparam_mutation_grid_20260504;Experiments/runs_ga_hyperparam/pc1_mutation_grid_seed_2026050311;Experiments/run_ga_hyperparam_mutation_grid_pc1.ps1;Experiments/run_ga_hyperparam_mutation_grid_pc2_prob25_30.ps1;Experiments/analyze_ga_hyperparam_sweep.py,Diplomová práca/Experiments/ga_mutation_grid_20260504,Mutation probability/sigma screening for the selected reward tuple and baseline selection settings.,114,1,64.962
package,empirical_model,vehicle_hitbox_aabb_20260503,Experiments/analysis/vehicle_hitbox_20260503_smoke;Experiments/analyze_vehicle_hitbox.py,Diplomová práca/Experiments/vehicle_hitbox_aabb_20260503,Justification for replacing a global raw lidar threshold with AABB-relative clearance lidar.,4,0,0.177
package,closed_loop_single_seed,ga_architecture_activation_ablation_20260504,Experiments/analysis/architecture_ablation_debug_20260504;Experiments/runs_ga_architecture_ablation/fixed100_lidar_finished_progress_time_crashes_seed_2026050314;Experiments/train_ga.py,Diplomová práca/Experiments/ga_architecture_activation_ablation_20260504,"Closed-loop GA comparison of 32x16/48x24 and relu,tanh versus relu,relu under the selected reward tuple.",20,0,9.38
package,mixed_single_seed_results,training_improvements_20260505,Experiments/analysis/latest_training_results_20260505;Experiments/run_ga_training_improvements_sweep_20260504.ps1;Experiments/analyze_latest_training_results.py,Diplomová práca/Experiments/training_improvements_20260505,"Comparison of selected GA training improvements after the reward and hyperparameter sweeps: mutation decay, mirror evaluation, multi-touch, variable tick, elite cache, MOO variants, and live TM overnight run.",22,0,5.048
package,single_seed_screening,rl_reward_equivalent_sweep_20260505,Experiments/analysis/rl_reward_equivalent_sweep_20260505;Experiments/run_rl_reward_equivalent_sweep_20260505.ps1;Experiments/train_sac.py;Experiments/analyze_rl_runs.py,Diplomová práca/Experiments/rl_reward_equivalent_sweep_20260505,"Stable-Baselines3 PPO, SAC, and TD3 comparison using the same TM2D environment, AABB lidar, strict gas/brake/steer actions, and a scalarized equivalent of the GA tuple.",21,0,3.333
package,single_seed_positive_with_negative_control,ga_supervised_seeded_20260505,Experiments/analysis/ga_supervised_seeded_20260505;Experiments/run_ga_supervised_seeded_pretrain_20260505.ps1;Experiments/run_ga_supervised_seeded_dense_pretrain_20260505.ps1;Experiments/analyze_ga_supervised_seeded.py,Diplomová práca/Experiments/ga_supervised_seeded_20260505,"Hybrid behavior-cloning initialization plus GA fine-tuning experiment, compared against the random initial population baseline.",16,0,1.074
keep_working,working,,Experiments/runs_rl,,RL comparison branch; keep until thesis role is decided.,,,
keep_working,working,,Experiments/runs_ga_training_improvements,,Main training-improvements raw runs; keep as source evidence.,,,
keep_working,working,,Experiments/runs_ga_moo,,MOO comparison raw runs; keep as source evidence for latest training analysis.,,,
keep_working,working,,Experiments/runs_ga_generalization,,Mirror holdout raw runs; keep as source evidence for latest training analysis.,,,
keep_working,working,,logs/supervised_data,,Current supervised datasets; keep until thesis data policy is finalized.,,,
archive_discard,missing,,Experiments/runs_smoke,Experiments/_discarded/20260505_230945/runs_smoke,Smoke tests only; not thesis evidence.,,,
archive_discard,missing,,Experiments/analysis/lexicographic_sweep_20260502,Experiments/_discarded/20260505_230945/lexicographic_sweep_20260502,Old fair sweep with obsolete raw lidar threshold; kept only as historical context.,,,
archive_discard,missing,,Experiments/runs_ga/lex_sweep_seed_2026050201,Experiments/_discarded/20260505_230945/lex_sweep_seed_2026050201,Raw runs for obsolete raw-threshold lidar sweep.,,,
archive_discard,missing,,Experiments/runs_ga/lex_sweep_seed_2026050202,Experiments/_discarded/20260505_230945/lex_sweep_seed_2026050202,Raw runs for obsolete raw-threshold lidar sweep.,,,
archive_discard,missing,,Experiments/runs_ga_ablation,Experiments/_discarded/20260505_230945/runs_ga_ablation,"Internal diagnostic ablations, not final thesis evidence.",,,
archive_discard,discard,,Experiments/runs_ga_diagnostic,Experiments/_discarded/20260505_230945/runs_ga_diagnostic,"Internal diagnostic runs used to find FPS/lidar issues, not final thesis evidence.",,,
archive_discard,missing,,Experiments/analysis/ga_hyperparam_selection_grid_20260503,Experiments/_discarded/20260505_230945/ga_hyperparam_selection_grid_20260503,Superseded coarse selection-pressure analysis; replaced by refined parent_count x elite_count grid.,,,
archive_discard,missing,,Experiments/runs_ga_hyperparam/pc2_selection_grid_seed_2026050311,Experiments/_discarded/20260505_230945/pc2_selection_grid_seed_2026050311,Superseded coarse selection-pressure runs; replaced by refined parent_count x elite_count grid.,,,
archive_discard,discard,,Experiments/analysis/focus_smoke_20260505,Experiments/_discarded/20260505_230945/focus_smoke_20260505,Smoke plot output only; not thesis evidence.,,,
archive_discard,discard,,Experiments/analysis/focus_ab_cache_20260505,Experiments/_discarded/20260505_230945/focus_ab_cache_20260505,Temporary focus plot superseded by latest_training_results_20260505.,,,
archive_discard,discard,,Experiments/analysis/supervised_map_specialists_500epoch_probe_20260505,Experiments/_discarded/20260505_230945/supervised_map_specialists_500epoch_probe_20260505,Probe output superseded by fixed supervised map specialist analysis.,,,
archive_discard,discard,,Experiments/analysis/supervised_map_specialists_500epoch_20260505,Experiments/_discarded/20260505_230945/supervised_map_specialists_500epoch_20260505,Superseded supervised map specialist analysis; fixed 2D/asphalt variant is retained.,,,
archive_discard,discard,,Experiments/analysis/supervised_map_specialists_1000epoch_20260505,Experiments/_discarded/20260505_230945/supervised_map_specialists_1000epoch_20260505,Superseded supervised map specialist probe; not selected for thesis package.,,,
archive_discard,discard,,logs/supervised_runs_map_specialists_500epoch_20260505,Experiments/_discarded/20260505_230945/supervised_runs_map_specialists_500epoch_20260505,Superseded supervised specialist run logs; fixed variant is retained.,,,
archive_discard,discard,,logs/supervised_runs_map_specialists_1000epoch_20260505,Experiments/_discarded/20260505_230945/supervised_runs_map_specialists_1000epoch_20260505,Superseded supervised specialist run logs; fixed variant is retained.,,,
archive_discard,discard,,logs/supervised_runs_map_specialists_500epoch_20260505_flat_2d,Experiments/_discarded/20260505_230945/supervised_runs_map_specialists_500epoch_20260505_flat_2d,Incorrectly named/intermediate supervised specialist runs; fixed suffix variant is retained.,,,
