action,status,experiment_id,source,destination,reason,files_copied,files_skipped,mb_copied
package,single_seed_strong_signal,lex_reward_aabb_lidar_fixed100_20260503,Experiments/analysis/lex_sweep_aabb_lidar_fixed100_20260503;Experiments/runs_ga/lex_sweep_aabb_lidar_fixed100_seed_2026050306;Experiments/run_lexicographic_sweep_aabb_lidar_fixed100.ps1;Experiments/run_lexicographic_sweep_aabb_lidar_fixed100_2.ps1;Experiments/analyze_lexicographic_sweep.py,Diplomová práca/Experiments/lex_reward_aabb_lidar_fixed100_20260503,"Main reward-function comparison after switching to AABB-clearance lidar, fixed FPS 100, binary gas/brake, no elite cache.",28,0,15.308
package,screening_single_seed,ga_selection_pressure_grid_20260503,Experiments/analysis/ga_hyperparam_selection_grid_20260503;Experiments/runs_ga_hyperparam/pc2_selection_grid_seed_2026050311;Experiments/run_ga_hyperparam_selection_grid_pc2.ps1;Experiments/analyze_ga_hyperparam_sweep.py,Diplomová práca/Experiments/ga_selection_pressure_grid_20260503,Selection-pressure screening for parent and elite ratios with the selected reward tuple.,113,1,65.388
package,screening_single_seed,ga_mutation_grid_20260504,Experiments/analysis/ga_hyperparam_mutation_grid_20260504;Experiments/runs_ga_hyperparam/pc1_mutation_grid_seed_2026050311;Experiments/run_ga_hyperparam_mutation_grid_pc1.ps1;Experiments/run_ga_hyperparam_mutation_grid_pc2_prob25_30.ps1;Experiments/analyze_ga_hyperparam_sweep.py,Diplomová práca/Experiments/ga_mutation_grid_20260504,Mutation probability/sigma screening for the selected reward tuple and baseline selection settings.,114,1,64.962
package,empirical_model,vehicle_hitbox_aabb_20260503,Experiments/analysis/vehicle_hitbox_20260503_smoke;Experiments/analyze_vehicle_hitbox.py,Diplomová práca/Experiments/vehicle_hitbox_aabb_20260503,Justification for replacing a global raw lidar threshold with AABB-relative clearance lidar.,4,0,0.177
package,closed_loop_single_seed,ga_architecture_activation_ablation_20260504,Experiments/analysis/architecture_ablation_debug_20260504;Experiments/runs_ga_architecture_ablation/fixed100_lidar_finished_progress_time_crashes_seed_2026050314;Experiments/train_ga.py,Diplomová práca/Experiments/ga_architecture_activation_ablation_20260504,"Closed-loop GA comparison of 32x16/48x24 and relu,tanh versus relu,relu under the selected reward tuple.",20,0,9.34
keep_working,missing,,Experiments/runs_ga_hyperparam/pc1_selection_refinement_seed_2026050401,,New selection refinement grid; keep as working until analyzed.,,,
keep_working,missing,,Experiments/runs_ga_hyperparam/pc2_mutation_refinement_seed_2026050401,,New mutation refinement grid; keep as working until analyzed.,,,
keep_working,working,,Experiments/runs_rl,,RL comparison branch; keep until thesis role is decided.,,,
archive_discard,discard,,Experiments/runs_smoke,Experiments/_discarded/20260504_131304/runs_smoke,Smoke tests only; not thesis evidence.,,,
archive_discard,discard,,Experiments/analysis/lexicographic_sweep_20260502,Experiments/_discarded/20260504_131304/lexicographic_sweep_20260502,Old fair sweep with obsolete raw lidar threshold; kept only as historical context.,,,
archive_discard,discard,,Experiments/runs_ga/lex_sweep_seed_2026050201,Experiments/_discarded/20260504_131304/lex_sweep_seed_2026050201,Raw runs for obsolete raw-threshold lidar sweep.,,,
archive_discard,discard,,Experiments/runs_ga/lex_sweep_seed_2026050202,Experiments/_discarded/20260504_131304/lex_sweep_seed_2026050202,Raw runs for obsolete raw-threshold lidar sweep.,,,
archive_discard,discard,,Experiments/runs_ga_ablation,Experiments/_discarded/20260504_131304/runs_ga_ablation,"Internal diagnostic ablations, not final thesis evidence.",,,
archive_discard,discard,,Experiments/runs_ga_diagnostic,Experiments/_discarded/20260504_131304/runs_ga_diagnostic,"Internal diagnostic runs used to find FPS/lidar issues, not final thesis evidence.",,,
